stop_id,stop_name,latitude,longitude,student_count,attendance_probability,pickup_window_start,pickup_window_end,dropoff_window_start,dropoff_window_end,service_time_minutes,priority,historical_delay_probability,zone,is_active
S001,Anna Nagar East Gate,13.145914,80.202001,8,0.66,06:15,07:00,13:30,14:30,1.8,3,0.042,A,True
S002,Anna Nagar Tower Park,13.089218,80.106955,10,0.56,06:30,07:15,13:30,14:30,2.1,2,0.035,B,True
S003,Vadapalani Signal,13.021592,80.23193,14,0.85,07:00,07:45,13:30,14:30,2.6,1,0.087,C,True
S004,Arumbakkam Metro,12.971415,80.20052,16,0.62,07:15,08:00,13:30,14:30,2.2,1,0.088,D,True
S005,Koyambedu Bus Stand,13.014866,80.133659,5,0.71,06:45,07:30,13:30,14:30,2.4,1,0.077,E,True
S006,CMBT West Entrance,13.171069,80.258379,12,0.6,06:15,07:00,13:30,14:30,1.7,1,0.168,A,True
S007,Porur Flyover,13.08294,80.149482,17,0.71,06:30,07:15,13:30,14:30,1.7,3,0.051,B,True
S008,Porur Lake Road,13.033674,80.237363,5,0.92,07:00,07:45,13:30,14:30,2.5,2,0.159,C,True
S009,Ramapuram Circle,12.945353,80.229187,9,0.7,07:15,08:00,13:30,14:30,3.3,3,0.127,D,True
S010,Mugalivakkam Bridge,12.977764,80.160913,6,0.78,06:45,07:30,13:30,14:30,2.7,1,0.059,E,True
S011,Gerugambakkam Cross,13.198429,80.2512,12,0.64,06:15,07:00,13:30,14:30,3.4,1,0.072,A,True
S012,Valasaravakkam Main,13.022905,80.102568,9,0.72,06:30,07:15,13:30,14:30,3.8,2,0.031,B,True
S013,Virugambakkam Park,13.072582,80.238881,14,0.76,07:00,07:45,13:30,14:30,3.1,1,0.162,C,True
S014,Saligramam Junction,12.889732,80.21973,12,0.78,07:15,08:00,13:30,14:30,2.6,2,0.14,D,True
S015,Aminjikarai North,12.947928,80.121932,6,0.77,06:45,07:30,13:30,14:30,1.6,1,0.035,E,True
S016,Nungambakkam High Road,13.072926,80.212799,14,0.73,06:15,07:00,13:30,14:30,2.5,2,0.03,A,True
S017,Khader Nawaz Khan Road,13.052911,80.177686,17,0.96,06:30,07:15,13:30,14:30,1.8,2,0.129,B,True
S018,Chetpet Lake Front,13.065053,80.266116,9,0.6,07:00,07:45,13:30,14:30,2.6,3,0.09,C,True
S019,Kilpauk Medical College,12.981378,80.221071,12,0.88,07:15,08:00,13:30,14:30,1.8,3,0.101,D,True
S020,Perambur Barracks,12.935813,80.163895,13,0.64,06:45,07:30,13:30,14:30,1.9,2,0.08,E,True
S021,Kolathur Market,13.187774,80.247916,11,0.56,06:15,07:00,13:30,14:30,3.7,1,0.169,A,True
S022,Villivakkam Railway Gate,13.023945,80.11927,13,0.96,06:30,07:15,13:30,14:30,2.7,1,0.034,B,True
S023,Ambattur OT,13.078679,80.251962,6,0.61,07:00,07:45,13:30,14:30,2.9,1,0.096,C,True
S024,Ambattur Industrial Estate,12.929151,80.248528,7,0.95,07:15,08:00,13:30,14:30,3.2,3,0.141,D,True
S025,Padi Junction,12.937406,80.199515,14,0.71,06:45,07:30,13:30,14:30,2.6,1,0.164,E,True
S026,Thirumangalam Metro,13.083705,80.227047,13,0.79,06:15,07:00,13:30,14:30,1.5,3,0.114,A,True
S027,Mogappair East,13.06311,80.118315,18,0.56,06:30,07:15,13:30,14:30,2.8,1,0.073,B,True
S028,Mogappair West,13.060139,80.232854,6,0.86,07:00,07:45,13:30,14:30,2.9,1,0.161,C,True
S029,Maduravoyal Circle,12.967693,80.2646,7,0.59,07:15,08:00,13:30,14:30,2.4,2,0.125,D,True
S030,Manappakkam Bypass,12.956043,80.172908,14,0.83,06:45,07:30,13:30,14:30,1.7,3,0.123,E,True
S031,Pallavaram EB Colony,13.100895,80.268934,7,0.63,06:15,07:00,13:30,14:30,1.9,1,0.106,A,True
S032,Chrompet Signal,13.027855,80.119985,18,0.58,06:30,07:15,13:30,14:30,3.6,1,0.149,B,True
S033,Tambaram West,13.023035,80.279957,17,0.56,07:00,07:45,13:30,14:30,3.4,1,0.035,C,True
S034,St Thomas Mount,12.874947,80.238851,7,0.92,07:15,08:00,13:30,14:30,1.9,1,0.164,D,True
S035,Meenambakkam Flyover,13.018237,80.12652,16,0.89,06:45,07:30,13:30,14:30,3.2,3,0.066,E,True
S036,Alandur Metro,13.199313,80.244461,15,0.76,06:15,07:00,13:30,14:30,2.0,1,0.05,A,True
S037,Guindy Industrial Estate,13.057918,80.143376,15,0.68,06:30,07:15,13:30,14:30,2.7,2,0.028,B,True
S038,Guindy Anna University Gate,13.029446,80.277647,5,0.92,07:00,07:45,13:30,14:30,1.7,1,0.031,C,True
S039,Saidapet Court Road,12.910566,80.275328,13,0.66,07:15,08:00,13:30,14:30,3.0,2,0.115,D,True
S040,Mambalam West,12.978885,80.156523,9,0.95,06:45,07:30,13:30,14:30,3.3,1,0.053,E,True
S041,T Nagar West,13.089842,80.21047,14,0.68,06:15,07:00,13:30,14:30,3.4,1,0.071,A,True
S042,Pondy Bazaar North,13.000932,80.149693,13,0.98,06:30,07:15,13:30,14:30,2.0,1,0.032,B,True
S043,Kodambakkam Studio Lane,13.027947,80.240941,5,0.93,07:00,07:45,13:30,14:30,1.9,2,0.079,C,True
S044,Ashok Nagar 4th Ave,12.955531,80.248934,16,0.83,07:15,08:00,13:30,14:30,3.5,1,0.021,D,True
S045,K K Nagar Market,13.011811,80.110359,18,0.61,06:45,07:30,13:30,14:30,1.8,2,0.038,E,True
S046,Madipakkam Main Road,13.073317,80.222541,7,0.86,06:15,07:00,13:30,14:30,3.1,1,0.053,A,True
S047,Velachery MRTS,13.050541,80.12009,18,0.91,06:30,07:15,13:30,14:30,2.6,1,0.035,B,True
S048,Velachery Main Road,13.022645,80.240013,6,0.82,07:00,07:45,13:30,14:30,3.4,2,0.062,C,True
S049,Pallikaranai Marsh Road,12.95585,80.244873,5,0.58,07:15,08:00,13:30,14:30,3.8,2,0.161,D,True
S050,Sholinganallur Signal,12.904323,80.136922,12,0.61,06:45,07:30,13:30,14:30,2.3,1,0.04,E,True
S051,Perungudi IT Park,13.184839,80.216806,7,0.84,06:15,07:00,13:30,14:30,2.9,2,0.077,A,True
S052,Thoraipakkam 100 Feet Road,13.097384,80.159958,18,0.95,06:30,07:15,13:30,14:30,3.9,1,0.158,B,True
S053,Kandanchavadi Bus Stop,13.072885,80.221487,15,0.95,07:00,07:45,13:30,14:30,2.5,3,0.145,C,True
S054,Navalur Toll Gate,12.97961,80.26486,8,0.62,07:15,08:00,13:30,14:30,2.5,1,0.132,D,True
S055,Siruseri SIPCOT,13.003031,80.122243,17,0.94,06:45,07:30,13:30,14:30,3.6,1,0.076,E,True
S056,Kelambakkam Junction,13.083439,80.252803,10,0.69,06:15,07:00,13:30,14:30,3.9,1,0.158,A,True
S057,Adyar Depot,13.035115,80.140752,14,0.97,06:30,07:15,13:30,14:30,3.8,1,0.106,B,True
S058,Adyar Junction,13.072622,80.235673,13,0.96,07:00,07:45,13:30,14:30,1.8,2,0.062,C,True
