id,from_stop,to_stop,distance_km,mean_travel_time,std_travel_time,p50_time,p90_time,p95_time,traffic_condition,lognormal_mu,lognormal_sigma
S001_S002,S001,S002,12.07,20.82,3.23,20.57,25.06,26.51,normal,3.0239,0.1541
S002_S001,S002,S001,12.07,19.97,2.99,19.75,23.91,25.24,normal,2.983,0.1491
S001_S003,S001,S003,14.199,35.42,10.56,33.95,49.35,54.86,normal,3.5248,0.2918
S003_S001,S003,S001,14.199,33.08,10.4,31.56,46.77,52.29,normal,3.4519,0.3069
S001_S006,S001,S006,6.715,15.16,2.94,14.88,19.03,20.4,light,2.6999,0.1919
S006_S001,S006,S001,6.715,15.3,3.06,15.01,19.35,20.79,light,2.7085,0.1982
S001_S007,S001,S007,9.021,20.28,4.74,19.75,26.55,28.87,heavy,2.9831,0.2308
S007_S001,S007,S001,9.021,20.57,5.04,19.98,27.23,29.72,heavy,2.9948,0.2413
S001_S008,S001,S008,13.055,35.4,11.01,33.8,49.91,55.73,normal,3.5204,0.304
S008_S001,S008,S001,13.055,34.96,10.52,33.47,48.83,54.34,normal,3.5107,0.2946
S001_S011,S001,S011,7.904,15.32,4.64,14.67,21.44,23.87,light,2.6855,0.2961
S011_S001,S011,S001,7.904,14.32,4.26,13.73,19.95,22.17,light,2.6196,0.2914
S001_S012,S001,S012,17.409,36.2,9.8,34.95,49.15,54.13,heavy,3.5538,0.266
S012_S001,S012,S001,17.409,37.53,9.87,36.3,50.57,55.55,heavy,3.5918,0.2587
S001_S013,S001,S013,9.08,13.14,2.97,12.82,17.06,18.49,normal,2.5508,0.2229
S013_S001,S013,S001,9.08,13.83,3.04,13.51,17.84,19.3,normal,2.6034,0.2169
S001_S016,S001,S016,8.2,10.66,2.83,10.3,14.4,15.83,light,2.3323,0.261
S016_S001,S016,S001,8.2,9.88,2.68,9.54,13.42,14.78,light,2.2556,0.2659
S001_S017,S001,S017,10.671,31.11,5.16,30.69,37.9,40.24,heavy,3.4238,0.1648
S017_S001,S017,S001,10.671,32.93,5.04,32.55,39.56,41.8,heavy,3.4828,0.1521
S001_S018,S001,S018,11.36,29.62,9.38,28.24,41.98,46.96,heavy,3.3406,0.3093
S018_S001,S018,S001,11.36,29.0,8.84,27.74,40.65,45.3,heavy,3.323,0.298
